Variable,GDP,Vacc,Age,UHC,Mort.
GDP,1,0.5302260673105316,0.3623284544390717,0.6337540455315176,-0.3757875251239488
Vacc,0.5302260673105316,1,0.22822712426529496,0.6758402253985979,-0.5500112508618088
Age,0.3623284544390717,0.22822712426529496,1,0.5106938453915542,0.24920439237282116
UHC,0.6337540455315176,0.6758402253985979,0.5106938453915542,1,-0.31445438258492175
Mort.,-0.3757875251239488,-0.5500112508618088,0.24920439237282116,-0.31445438258492175,1
