iso3c,median_age,vax_day,vacc,excess_mort,uhc,gdp
LBN,28.106,2022-12-22,101.22213,NA,73,NA
LSO,21.264,2023-03-19,58.575302,NA,53,2240.3394
LBR,18.18,2022-12-11,83.01549,NA,45,1460.9233
LBY,26.917,2023-01-16,51.76162,NA,62,19796.588
LIE,44.014,2023-05-03,188.96176,1476.5313459789095,NA,NA
LTU,42.633,2023-05-05,161.37582,8733.1860238523,75,39955.246
LUX,38.676,2023-03-25,210.39543,-451.8949356233271,83,117746.99
MDG,18.718,2023-05-07,9.660523,NA,35,1502.4822
MWI,17.335,2023-05-07,39.450436,NA,48,1466.8794
MYS,29.573,2023-05-05,209.28961,1308.2991071136125,76,28383.62
MDV,30.339,2023-05-07,181.58995,NA,61,21271.318
MLI,15.349,2023-05-14,25.6693,NA,41,2132.6233
MLT,39.746,2023-05-02,261.424,1403.607849533205,85,48641.85
MHL,20.965,NA,NA,NA,59,6004.343
MRT,16.992,2023-05-14,83.445984,NA,40,5330.2144
MUS,36.513,2023-05-07,204.92033,1263.4926056816403,66,22841.35
MEX,28.528,2022-10-07,173.51186,5259.719142690051,75,20254.781
FSM,22.608,NA,NA,NA,48,3263.6653
MDA,37.478,2023-05-14,75.259995,5206.616947796611,71,13308.417
MCO,54.975,2023-12-23,184.67484,NA,86,NA
MNG,26.617,2023-03-17,167.39867,110.63613196774925,65,12073.245
MNE,39.08,2022-08-26,110.49719,5125.378017089172,72,22108.73
MAR,28.875,2023-05-03,148.38002,NA,69,8083.365
MOZ,16.249,2023-04-23,90.20492,NA,44,1250.7725
MMR,29.251,2023-05-02,166.40672,NA,52,4249.876
NAM,20.825,2023-05-07,34.267258,NA,63,9762.777
NRU,20.573,2023-02-20,272.03284,NA,60,11024.343
NPL,24.356,2023-05-02,207.79872,NA,54,4001.7
NLD,41.463,2023-05-05,222.0563,2523.756483174467,85,59249.168
NCL,33.589,2023-05-01,167.40582,1521.5268466858397,NA,NA
NZL,37.068,2023-05-02,240.599,-14.324568700367525,85,45185.312
NIC,24.912,2023-05-05,227.74101,NA,70,5822.3535
NER,15.102,2023-03-12,28.995361,NA,35,1274.6417
NGA,17.567,2023-03-19,52.25471,NA,38,4963.16
PRK,35.805,NA,NA,NA,68,NA
