Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Israel,ISR,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,4117375445631.87
Italy,ITA,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,14842413806492.2
Jamaica,JAM,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,162325486203.732
Japan,JPN,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,62411262354976.4
Jordan,JOR,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,202798365335.485
Kazakhstan,KAZ,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,1088852877083.97
Kenya,KEN,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,1148188928105.48
"Korea, Rep.",KOR,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,13546210900040.5
Kuwait,KWT,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,414337811731.955
Kyrgyz Republic,KGZ,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,75762277932.9183
Lao PDR,LAO,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,239530315377.742
Latvia,LVA,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,324019341571.504
Lebanon,LBN,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,206505808517.182
Lesotho,LSO,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,20066989889.9094
Liberia,LBR,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,65353014304.6616
Lithuania,LTU,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,436237797090.48
Luxembourg,LUX,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,579140984606.111
Madagascar,MDG,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,187532616601.119
Malawi,MWI,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,220889303657.71
Malaysia,MYS,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,2750398857903.54
Maldives,MDV,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,31083139590.0997
Mali,MLI,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,301164390988.529
Malta,MLT,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,121811915582.481
Mauritania,MRT,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,88562595156.0102
Mauritius,MUS,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,66592940475.8641
Mexico,MEX,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,8151734096746.96
Moldova,MDA,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,47991255639.9534
Mongolia,MNG,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,125236875484.411
Montenegro,MNE,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,23776710314.9115
