Entity,iso3c,Day_near,vacc_per_100_near
Niue,NIU,2023-03-04,266.97397
North Macedonia,MKD,2023-05-07,101.236305
Norway,NOR,2022-11-13,222.57681
Oman,OMN,2022-10-25,150.27919
Pakistan,PAK,2023-05-03,138.94612
Palestine,PSE,2022-10-18,70.65744
Panama,PAN,2023-05-12,202.0782
Papua New Guinea,PNG,2023-05-01,7.2300525
Paraguay,PRY,2023-05-12,144.15503
Peru,PER,2023-05-05,267.08426
Philippines,PHL,2023-03-19,166.11964
Poland,POL,2023-05-05,151.08115
Portugal,PRT,2023-05-05,271.09616
Qatar,QAT,2023-05-07,263.06897
Romania,ROU,2022-06-11,87.79508
Russia,RUS,2023-05-06,128.23105
Rwanda,RWA,2023-06-04,200.14656
Saint Helena,SHN,2021-05-05,146.99199
Saint Kitts and Nevis,KNA,2022-12-02,137.58961
Saint Lucia,LCA,2022-12-02,68.78139
Saint Vincent and the Grenadines,VCT,2023-04-21,71.9592
Samoa,WSM,2023-04-17,210.47295
San Marino,SMR,2022-05-22,203.25975
Sao Tome and Principe,STP,2023-05-07,116.13871
Saudi Arabia,SAU,2023-04-25,213.00351
Senegal,SEN,2023-05-07,16.635468
Serbia,SRB,2022-06-23,125.67242
Seychelles,SYC,2023-04-09,178.88507
Sierra Leone,SLE,2023-04-30,91.198296
Singapore,SGP,2023-08-29,270.8467
Sint Maarten (Dutch part),SXM,2023-03-31,158.50153
Slovakia,SVK,2023-12-23,131.95915
Slovenia,SVN,2023-12-23,143.17119
Solomon Islands,SLB,2022-10-31,80.14032
Somalia,SOM,2023-04-30,53.04969
South Africa,ZAF,2023-04-30,62.221874
South Korea,KOR,2022-12-12,250.36981
South Sudan,SSD,2023-05-07,39.13285
Spain,ESP,2023-04-26,221.20732
Sri Lanka,LKA,2022-10-30,175.68054
Sudan,SDN,2023-04-02,45.76186
Suriname,SUR,2023-12-29,88.994225
Sweden,SWE,2023-05-08,249.2067
Switzerland,CHE,2023-05-05,192.66025
Syria,SYR,2023-04-18,22.663126
Taiwan,TWN,2023-04-27,289.97873
Tajikistan,TJK,2023-06-04,201.58438
Tanzania,TZA,2023-03-12,60.873608
Thailand,THA,2022-09-30,198.83513
Togo,TGO,2023-05-28,37.469635
Tokelau,TKL,2022-12-05,232.43945
Tonga,TON,2023-04-11,193.43379
Trinidad and Tobago,TTO,2022-09-21,105.68051
Tunisia,TUN,2023-05-03,109.3199
Turkey,TUR,2022-11-22,175.21942
Turkmenistan,TKM,2023-02-05,180.36179
Turks and Caicos Islands,TCA,2023-01-06,161.12625
Tuvalu,TUV,2023-02-01,267.509
Uganda,UGA,2023-05-28,55.81361
Ukraine,UKR,2023-12-23,87.056175
United Arab Emirates,ARE,2022-06-20,243.3299
United Kingdom,GBR,2022-09-04,221.83975
United States,USA,2023-05-05,198.10597
Uruguay,URY,2023-08-12,260.96063
Uzbekistan,UZB,2023-04-16,216.97191
Vanuatu,VUT,2023-02-20,117.11354
Venezuela,VEN,2022-12-07,134.1969
Vietnam,VNM,2023-05-04,267.11963
Wallis and Futuna,WLF,2023-01-23,157.01244
Yemen,YEM,2023-04-18,3.336661
Zambia,ZMB,2023-05-22,66.76057
Zimbabwe,ZWE,2022-10-09,76.063896
