iso3c,Entity,Day_max,vacc_per_100_max,Day_near,vacc_per_100_near,same_day,delta_value,delta_abs,day_diff
ATG,Antigua and Barbuda,2022-09-16,147.02264,2022-09-16,147.02264,TRUE,0,0,0
AZE,Azerbaijan,2022-08-28,134.59639,2022-08-28,134.59639,TRUE,0,0,0
BHS,Bahamas,2023-05-12,92.15559,2023-05-12,92.15559,TRUE,0,0,0
BHR,Bahrain,2022-12-21,226.71835,2022-12-21,226.71835,TRUE,0,0,0
BEN,Benin,2022-12-18,30.760847,2022-12-18,30.760847,TRUE,0,0,0
BMU,Bermuda,2023-12-29,211.13907,2023-12-29,211.13907,TRUE,0,0,0
BTN,Bhutan,2022-10-30,257.57132,2022-10-30,257.57132,TRUE,0,0,0
BOL,Bolivia,2022-10-07,121.63899,2022-10-07,121.63899,TRUE,0,0,0
BES,Bonaire Sint Eustatius and Saba,2021-09-01,125.09597,2021-09-01,125.09597,TRUE,0,0,0
BIH,Bosnia and Herzegovina,2022-01-29,60.064495,2022-01-29,60.064495,TRUE,0,0,0
BWA,Botswana,2023-12-31,129.99194,2023-05-07,129.99194,FALSE,0,0,-238
VGB,British Virgin Islands,2022-09-16,108.10818,2022-09-16,108.10818,TRUE,0,0,0
CPV,Cape Verde,2022-09-25,165.45262,2022-09-25,165.45262,TRUE,0,0,0
CHN,China,2023-04-20,246.76755,2023-04-20,246.76755,TRUE,0,0,0
COM,Comoros,2022-10-02,100.09938,2022-10-02,100.09938,TRUE,0,0,0
COG,Congo,2022-07-31,13.806052,2022-07-31,13.806052,TRUE,0,0,0
COK,Cook Islands,2023-02-13,277.03262,2023-02-13,277.03262,TRUE,0,0,0
CIV,Cote d'Ivoire,2023-02-19,83.118706,2023-02-19,83.118706,TRUE,0,0,0
CUW,Curacao,2023-05-12,140.4492,2023-05-12,140.4492,TRUE,0,0,0
DMA,Dominica,2022-10-07,101.19222,2022-10-07,101.19222,TRUE,0,0,0
GNQ,Equatorial Guinea,2022-07-24,27.098667,2022-07-24,27.098667,TRUE,0,0,0
FLK,Falkland Islands,2021-04-14,125.37695,2021-04-14,125.37695,TRUE,0,0,0
FRO,Faroe Islands,2022-02-18,192.25745,2022-02-18,192.25745,TRUE,0,0,0
FJI,Fiji,2023-05-01,169.14668,2023-05-01,169.14668,TRUE,0,0,0
PYF,French Polynesia,2023-05-01,179.37651,2023-05-01,179.37651,TRUE,0,0,0
GAB,Gabon,2023-02-05,23.559458,2023-02-05,23.559458,TRUE,0,0,0
GMB,Gambia,2023-03-19,54.788803,2023-03-19,54.788803,TRUE,0,0,0
GEO,Georgia,2022-10-13,77.2291,2022-10-13,77.2291,TRUE,0,0,0
GIB,Gibraltar,2022-12-16,352.9271,2022-12-16,352.9271,TRUE,0,0,0
GRL,Greenland,2022-03-14,142.3537,2022-03-14,142.3537,TRUE,0,0,0
GRD,Grenada,2023-03-17,77.55713,2023-03-17,77.55713,TRUE,0,0,0
GGY,Guernsey,2022-12-19,280.048,2022-12-19,280.048,TRUE,0,0,0
HUN,Hungary,2022-12-04,172.45674,2022-12-04,172.45674,TRUE,0,0,0
ISL,Iceland,2023-12-23,237.51314,2023-12-23,237.51314,TRUE,0,0,0
IRQ,Iraq,2023-01-02,44.37739,2023-01-02,44.37739,TRUE,0,0,0
IMN,Isle of Man,2022-06-23,225.79625,2022-06-23,225.79625,TRUE,0,0,0
JEY,Jersey,2023-01-29,257.94305,2023-01-29,257.94305,TRUE,0,0,0
JOR,Jordan,2022-08-21,89.35444,2022-08-21,89.35444,TRUE,0,0,0
KAZ,Kazakhstan,2023-04-30,191.4467,2023-04-30,191.4467,TRUE,0,0,0
KEN,Kenya,2023-04-02,43.777615,2023-04-02,43.777615,TRUE,0,0,0
KIR,Kiribati,2023-02-20,168.5916,2023-02-20,168.5916,TRUE,0,0,0
XKX,Kosovo,2023-02-12,106.955734,2023-02-12,106.955734,TRUE,0,0,0
LAO,Laos,2022-08-11,146.99107,2022-08-11,146.99107,TRUE,0,0,0
LVA,Latvia,2023-12-23,158.40149,2023-12-23,158.40149,TRUE,0,0,0
LBN,Lebanon,2022-12-22,101.22213,2022-12-22,101.22213,TRUE,0,0,0
LSO,Lesotho,2023-03-19,58.575302,2023-03-19,58.575302,TRUE,0,0,0
LBR,Liberia,2022-12-11,83.01549,2022-12-11,83.01549,TRUE,0,0,0
LBY,Libya,2023-01-16,51.76162,2023-01-16,51.76162,TRUE,0,0,0
LUX,Luxembourg,2023-03-25,210.39543,2023-03-25,210.39543,TRUE,0,0,0
MAC,Macao,2023-04-13,255.9753,2023-04-13,255.9753,TRUE,0,0,0
MLI,Mali,2023-05-14,25.6693,2023-05-14,25.6693,TRUE,0,0,0
MEX,Mexico,2022-10-07,173.51186,2022-10-07,173.51186,TRUE,0,0,0
MCO,Monaco,2023-12-23,184.67484,2023-12-23,184.67484,TRUE,0,0,0
MNG,Mongolia,2023-03-17,167.39867,2023-03-17,167.39867,TRUE,0,0,0
MNE,Montenegro,2022-08-26,110.49719,2022-08-26,110.49719,TRUE,0,0,0
MSR,Montserrat,2022-12-16,103.19482000000001,2022-12-16,103.19482000000001,TRUE,0,0,0
NRU,Nauru,2023-02-20,272.03284,2023-02-20,272.03284,TRUE,0,0,0
NIU,Niue,2023-03-04,266.97397,2023-03-04,266.97397,TRUE,0,0,0
MKD,North Macedonia,2023-05-07,101.236305,2023-05-07,101.236305,TRUE,0,0,0
OMN,Oman,2022-10-25,150.27919,2022-10-25,150.27919,TRUE,0,0,0
PSE,Palestine,2022-10-18,70.65744,2022-10-18,70.65744,TRUE,0,0,0
PNG,Papua New Guinea,2023-05-01,7.2300525,2023-05-01,7.2300525,TRUE,0,0,0
PHL,Philippines,2023-03-19,166.11964,2023-03-19,166.11964,TRUE,0,0,0
QAT,Qatar,2023-05-07,263.06897,2023-05-07,263.06897,TRUE,0,0,0
ROU,Romania,2022-06-11,87.79508,2022-06-11,87.79508,TRUE,0,0,0
