Entity,iso3c,Day_max,vacc_per_100_max
Niue,NIU,2023-03-04,266.97397
North Macedonia,MKD,2023-05-07,101.236305
Norway,NOR,2023-12-23,238.61334
Oman,OMN,2022-10-25,150.27919
Pakistan,PAK,2023-11-14,139.91515
Palestine,PSE,2022-10-18,70.65744
Panama,PAN,2023-12-29,209.08322
Papua New Guinea,PNG,2023-05-01,7.2300525
Paraguay,PRY,2023-12-29,147.25108
Peru,PER,2023-12-10,273.0736
Philippines,PHL,2023-03-19,166.11964
Poland,POL,2023-12-23,152.751
Portugal,PRT,2023-09-29,271.8114
Qatar,QAT,2023-05-07,263.06897
Romania,ROU,2022-06-11,87.79508
Russia,RUS,2023-09-26,128.70906
Rwanda,RWA,2023-06-04,200.14656
Saint Helena,SHN,2021-05-05,146.99199
Saint Kitts and Nevis,KNA,2022-12-02,137.58961
Saint Lucia,LCA,2022-12-02,68.78139
Saint Vincent and the Grenadines,VCT,2023-04-21,71.9592
Samoa,WSM,2023-04-17,210.47295
San Marino,SMR,2022-05-22,203.25975
Sao Tome and Principe,STP,2023-07-30,116.592064
Saudi Arabia,SAU,2023-04-25,213.00351
Senegal,SEN,2023-12-31,18.028952
Serbia,SRB,2022-06-23,125.67242
Seychelles,SYC,2023-04-09,178.88507
Sierra Leone,SLE,2023-07-30,110.62158
Singapore,SGP,2023-08-29,270.8467
Sint Maarten (Dutch part),SXM,2023-03-31,158.50153
Slovakia,SVK,2023-12-23,131.95915
Slovenia,SVN,2023-12-23,143.17119
Solomon Islands,SLB,2022-10-31,80.14032
Somalia,SOM,2023-07-25,59.29613
South Africa,ZAF,2023-09-24,67.00845
South Korea,KOR,2022-12-12,250.36981
South Sudan,SSD,2023-10-01,39.610542
Spain,ESP,2023-12-23,249.28398
Sri Lanka,LKA,2022-10-30,175.68054
Sudan,SDN,2023-12-31,58.04003
Suriname,SUR,2023-12-29,88.994225
Sweden,SWE,2024-02-26,269.97156
Switzerland,CHE,2023-07-03,192.67935
Syria,SYR,2023-04-18,22.663126
Taiwan,TWN,2023-09-24,291.02765
Tajikistan,TJK,2023-12-23,202.0006
Tanzania,TZA,2023-03-12,60.873608
Thailand,THA,2022-09-30,198.83513
Togo,TGO,2023-11-19,37.659824
Tokelau,TKL,2022-12-05,232.43945
Tonga,TON,2023-06-30,194.88925
Trinidad and Tobago,TTO,2023-12-29,106.432556
Tunisia,TUN,2023-12-31,136.58618
Turkey,TUR,2022-11-22,175.21942
Turkmenistan,TKM,2023-08-06,232.02643
Turks and Caicos Islands,TCA,2023-01-06,161.12625
Tuvalu,TUV,2023-02-01,267.509
Uganda,UGA,2023-05-28,55.81361
Ukraine,UKR,2023-12-23,87.056175
United Arab Emirates,ARE,2022-06-20,243.3299
United Kingdom,GBR,2022-09-04,221.83975
United States,USA,2023-05-09,198.14388
Uruguay,URY,2023-12-29,266.5211
Uzbekistan,UZB,2023-12-23,240.24174
Vanuatu,VUT,2023-02-20,117.11354
Venezuela,VEN,2022-12-07,134.1969
Vietnam,VNM,2023-06-30,267.34592
Wallis and Futuna,WLF,2023-01-23,157.01244
Yemen,YEM,2023-12-10,3.3975828
Zambia,ZMB,2023-12-31,67.56191
Zimbabwe,ZWE,2023-12-31,86.72014
